iter	RMSE
1094	0.3098541618
1095	0.3098181402
1096	0.3097262846
1097	0.3096652027
1098	0.3095656878
1099	0.3095152367
1100	0.3094441069
1101	0.3093850573
1102	0.3092994693
1103	0.3091849422
1104	0.3090824371
1105	0.3090063996
1106	0.3089580372
1107	0.3088919184
1108	0.3087682229
1109	0.3086988128
1110	0.3086706118
1111	0.308565842
1112	0.3084897151
1113	0.3083812453
1114	0.308349836
1115	0.308243832
1116	0.3081518705
1117	0.3081196336
1118	0.308025804
1119	0.3079674394
1120	0.3078604904
1121	0.3077515709
1122	0.3077098483
1123	0.3076320513
1124	0.3075423996
1125	0.3074584037
1126	0.3073445632
1127	0.3072706115
1128	0.3071764146
1129	0.3071193175
1130	0.3070276273
1131	0.3069147184
1132	0.3068526907
1133	0.3067492578
1134	0.3066201981
1135	0.3065285481
1136	0.3064502602
1137	0.3062249653
1138	0.3061042177
1139	0.3060243871
1140	0.3059758269
1141	0.3058663302
1142	0.3058049759
1143	0.3057406906
1144	0.3056708653
1145	0.3056054059
1146	0.3055436253
1147	0.3054928641
1148	0.3054321193
1149	0.3053554136
1150	0.3053025037
1151	0.3052699787
1152	0.3052421977
1153	0.3051520445
1154	0.3051099445
1155	0.3050337249
1156	0.304971109
1157	0.304898707
1158	0.3048323243
1159	0.3046965114
1160	0.3046417484
1161	0.3045916356
1162	0.3045194414
1163	0.3044336619
1164	0.3043561337
1165	0.3042794449
1166	0.3042229227
1167	0.3041796369
1168	0.3041074311
1169	0.3040482877
1170	0.3039906795
1171	0.3039242736
1172	0.3038763171
1173	0.303832981
1174	0.3037917847
1175	0.3037165962
1176	0.3036995067
1177	0.3035308652
1178	0.3034431087
1179	0.3033978362
1180	0.3033185265
1181	0.3032654727
1182	0.3032400252
1183	0.3031731467
1184	0.3031048465
1185	0.3030603403
1186	0.3029879409
1187	0.3028601812
1188	0.3028412594
1189	0.3027510104
1190	0.3026887356
1191	0.3026351859
1192	0.3025676864
1193	0.3024039097
1194	0.3023225138
1195	0.3022480954
1196	0.3022072245
1197	0.3021894165
1198	0.3020763379
1199	0.3019694295
1200	0.3019356103
1201	0.3018607306
1202	0.3017911177
1203	0.3017172284
1204	0.3016531977
1205	0.3015573344
1206	0.3014606903
1207	0.3014047641
1208	0.3013678392
1209	0.3012538611
1210	0.3012142301
1211	0.3011724102
1212	0.3011312569
1213	0.3011209975
1214	0.3010686101
